Ampara_2010_01	25.21,238
Ampara_2016_11	25.8,318
Ampara_2016_12	25.52,186
Ampara_2017_01	24.32,252
Ampara_2017_02	24.65,198
Ampara_2017_03	26.23,184
Ampara_2017_04	28.06,84
Ampara_2017_05	28.89,107
Ampara_2017_06	29.93,56
Ampara_2017_07	30.35,71
Ampara_2017_08	29.6,89
Ampara_2017_09	28.11,121
Ampara_2017_10	27.68,183
Ampara_2017_11	25.61,354
Ampara_2017_12	25.21,267
Ampara_2018_01	24.4,151
Ampara_2018_02	24.81,225
Ampara_2018_03	26.1,263
Ampara_2018_04	26.83,218
Ampara_2018_05	27.1,161
Ampara_2018_06	28.4,68
Ampara_2018_07	29.85,52
Ampara_2018_08	29.81,57
Ampara_2018_09	29.03,129
Ampara_2018_10	26.09,376
Ampara_2018_11	25.57,436
Ampara_2018_12	25.04,331
Ampara_2019_01	24.76,250
Ampara_2019_02	25.74,365
Ampara_2019_03	26.77,131
Ampara_2019_04	28.14,142
Ampara_2019_05	30.05,64
Ampara_2019_06	30.73,65
Ampara_2019_07	30.31,68
Ampara_2019_08	29.41,101
Ampara_2019_09	27.97,193
Ampara_2019_10	25.71,394
Ampara_2019_11	26.0,395
Ampara_2019_12	25.28,508
Ampara_2020_01	25.42,297
Ampara_2020_02	25.75,212
Ampara_2020_03	27.01,76
Ampara_2020_04	28.2,205
Ampara_2020_05	28.67,169
Ampara_2020_06	29.36,81
Ampara_2020_07	28.73,107
Ampara_2020_08	29.79,52
Ampara_2020_09	28.5,126
Ampara_2020_10	28.96,123
Ampara_2020_11	26.2,412
Ampara_2020_12	25.22,407
Ampara_2021_01	24.88,425
Ampara_2021_02	25.2,235
Ampara_2021_03	26.04,247
Ampara_2021_04	27.39,158
Ampara_2021_05	28.04,188
Ampara_2021_06	28.86,82
Ampara_2021_07	29.12,101
Ampara_2021_08	28.74,115
Ampara_2021_09	28.77,131
Ampara_2021_10	27.12,211
Ampara_2021_11	25.63,323
Ampara_2021_12	25.23,269
Ampara_2022_01	24.7,289
Ampara_2022_02	25.2,184
Ampara_2022_03	26.5,152
Ampara_2022_04	26.81,216
Ampara_2022_05	28.48,83
Ampara_2022_06	28.27,85
Ampara_2022_07	28.41,117
Ampara_2022_08	27.6,120
Ampara_2022_09	27.78,101
Ampara_2022_10	26.44,210
Ampara_2022_11	25.31,261
Ampara_2022_12	24.74,300
Ampara_2023_01	24.3,249
Ampara_2023_02	24.83,264
Ampara_2023_03	26.06,256
Ampara_2023_04	27.4,151
Ampara_2023_05	28.05,109
Ampara_2023_06	29.41,75
Ampara_2023_07	29.34,60
Ampara_2023_08	30.1,89
Ampara_2023_09	28.18,134
Ampara_2023_10	26.29,281
Ampara_2023_11	25.63,381
Ampara_2023_12	25.49,455
Ampara_2024_01	25.29,301
Ampara_2024_02	26.44,197
Ampara_2024_03	27.07,130
Ampara_2024_04	28.44,148
Ampara_2024_05	28.88,154
Ampara_2024_06	28.66,36
Anuradhapura_2010_01	24.71,109
Anuradhapura_2010_02	26.18,30
Anuradhapura_2010_03	28.35,74
Anuradhapura_2010_04	28.46,129
Anuradhapura_2010_05	27.66,147
Anuradhapura_2010_06	27.56,112
Anuradhapura_2010_07	27.35,105
Anuradhapura_2010_08	27.13,109
Anuradhapura_2010_09	26.73,146
Anuradhapura_2010_10	26.3,176
Anuradhapura_2010_11	25.13,322
Anuradhapura_2010_12	24.0,390
Anuradhapura_2011_01	23.64,279
Anuradhapura_2011_02	24.6,168
Anuradhapura_2011_03	26.65,103
Anuradhapura_2011_04	26.93,194
Anuradhapura_2011_05	27.64,80
Anuradhapura_2011_06	27.85,56
Anuradhapura_2011_07	27.45,96
Anuradhapura_2011_08	27.14,107
Anuradhapura_2011_09	27.46,99
Anuradhapura_2011_10	26.67,220
Anuradhapura_2011_11	25.24,246
Anuradhapura_2011_12	24.74,179
Anuradhapura_2012_01	24.49,54
Anuradhapura_2012_02	25.6,85
Anuradhapura_2012_03	27.95,46
Anuradhapura_2012_04	27.34,156
Anuradhapura_2012_05	28.56,28
Anuradhapura_2012_06	27.99,72
Anuradhapura_2012_07	28.0,67
Anuradhapura_2012_08	27.85,72
Anuradhapura_2012_09	27.79,75
Anuradhapura_2012_10	26.27,300
Anuradhapura_2012_11	25.45,193
Anuradhapura_2012_12	24.74,233
Anuradhapura_2013_01	24.31,119
Anuradhapura_2013_02	25.17,124
Anuradhapura_2013_03	26.73,109
Anuradhapura_2013_04	28.37,102
Anuradhapura_2013_05	27.77,96
Anuradhapura_2013_06	26.84,140
Anuradhapura_2013_07	27.03,98
Anuradhapura_2013_08	27.22,88
Anuradhapura_2013_09	26.69,111
Anuradhapura_2013_10	26.81,151
Anuradhapura_2013_11	25.54,169
Anuradhapura_2013_12	24.47,163
Anuradhapura_2014_01	23.97,209
Anuradhapura_2014_02	25.23,38
Anuradhapura_2014_03	27.51,26
Anuradhapura_2014_04	28.18,110
Anuradhapura_2014_05	27.45,143
Anuradhapura_2014_06	28.26,64
Anuradhapura_2014_07	28.26,50
Anuradhapura_2014_08	27.35,118
Anuradhapura_2014_09	27.16,117
Anuradhapura_2014_10	25.95,283
Anuradhapura_2014_11	24.89,288
Anuradhapura_2014_12	24.32,372
Anuradhapura_2015_01	24.9,47
Anuradhapura_2015_02	24.94,125
Anuradhapura_2015_03	26.75,78
Anuradhapura_2015_04	27.33,169
Anuradhapura_2015_05	27.24,140
Anuradhapura_2015_06	27.43,112
Anuradhapura_2015_07	27.69,83
Anuradhapura_2015_08	27.76,83
Anuradhapura_2015_09	27.04,150
Anuradhapura_2015_10	26.24,274
Anuradhapura_2015_11	25.27,316
Anuradhapura_2015_12	25.25,258
Anuradhapura_2016_01	25.17,61
Anuradhapura_2016_02	26.44,70
Anuradhapura_2016_03	28.74,45
Anuradhapura_2016_04	29.66,71
Anuradhapura_2016_05	27.48,203
Anuradhapura_2016_06	27.32,95
Anuradhapura_2016_07	27.59,66
Anuradhapura_2016_08	27.81,51
Anuradhapura_2016_09	27.71,41
Anuradhapura_2016_10	27.61,86
Anuradhapura_2016_11	25.4,222
Anuradhapura_2016_12	25.09,114
Anuradhapura_2017_01	24.41,148
Anuradhapura_2017_02	25.11,63
Anuradhapura_2017_03	26.88,130
Anuradhapura_2017_04	29.23,52
Anuradhapura_2017_05	28.48,115
Anuradhapura_2017_06	28.04,127
Anuradhapura_2017_07	28.58,83
Anuradhapura_2017_08	27.73,119
Anuradhapura_2017_09	26.83,179
Anuradhapura_2017_10	26.48,250
Anuradhapura_2017_11	25.34,303
Anuradhapura_2017_12	24.89,168
Anuradhapura_2018_01	24.27,60
Anuradhapura_2018_02	25.41,86
Anuradhapura_2018_03	27.37,87
Anuradhapura_2018_04	28.01,116
Anuradhapura_2018_05	26.96,195
Anuradhapura_2018_06	27.18,190
Anuradhapura_2018_07	27.89,60
Anuradhapura_2018_08	27.56,96
Anuradhapura_2018_09	27.7,169
Anuradhapura_2018_10	25.64,430
Anuradhapura_2018_11	25.15,364
Anuradhapura_2018_12	24.95,177
Anuradhapura_2019_01	24.44,58
Anuradhapura_2019_02	26.12,158
Anuradhapura_2019_03	28.21,41
Anuradhapura_2019_04	28.78,99
Anuradhapura_2019_05	29.04,68
Anuradhapura_2019_06	28.98,85
Anuradhapura_2019_07	28.66,81
Anuradhapura_2019_08	27.56,252
Anuradhapura_2019_09	27.21,211
Anuradhapura_2019_10	25.7,365
Anuradhapura_2019_11	25.93,252
Anuradhapura_2019_12	25.18,305
Anuradhapura_2020_01	25.28,100
Anuradhapura_2020_02	26.04,34
Anuradhapura_2020_03	27.82,33
Anuradhapura_2020_04	28.43,141
Anuradhapura_2020_05	28.06,161
Anuradhapura_2020_06	27.98,146
Anuradhapura_2020_07	27.55,158
Anuradhapura_2020_08	27.67,124
Anuradhapura_2020_09	26.74,264
Anuradhapura_2020_10	27.35,151
Anuradhapura_2020_11	25.94,324
Anuradhapura_2020_12	24.71,362
Anuradhapura_2021_01	24.69,313
Anuradhapura_2021_02	25.07,92
Anuradhapura_2021_03	26.76,98
Anuradhapura_2021_04	27.68,184
Anuradhapura_2021_05	27.17,261
Anuradhapura_2021_06	27.4,136
Anuradhapura_2021_07	27.71,137
Anuradhapura_2021_08	27.63,113
Anuradhapura_2021_09	27.51,173
Anuradhapura_2021_10	26.18,292
Anuradhapura_2021_11	25.02,397
Anuradhapura_2021_12	25.27,127
Anuradhapura_2022_01	25.07,125
Anuradhapura_2022_02	25.1,99
Anuradhapura_2022_03	26.79,93
Anuradhapura_2022_04	26.66,209
Anuradhapura_2022_05	27.35,200
Anuradhapura_2022_06	27.29,115
Anuradhapura_2022_07	27.37,114
Anuradhapura_2022_08	26.88,153
Anuradhapura_2022_09	26.99,119
Anuradhapura_2022_10	25.85,242
Anuradhapura_2022_11	25.06,223
Anuradhapura_2022_12	24.71,243
Anuradhapura_2023_01	23.98,153
Anuradhapura_2023_02	24.92,113
Anuradhapura_2023_03	26.63,109
Anuradhapura_2023_04	27.74,104
Anuradhapura_2023_05	27.61,129
Anuradhapura_2023_06	28.23,70
Anuradhapura_2023_07	28.22,80
Anuradhapura_2023_08	28.83,53
Anuradhapura_2023_09	27.33,192
Anuradhapura_2023_10	26.19,268
Anuradhapura_2023_11	25.44,376
Anuradhapura_2023_12	25.38,323
Anuradhapura_2024_01	25.22,187
Anuradhapura_2024_02	26.77,63
Anuradhapura_2024_03	28.08,53
Anuradhapura_2024_04	29.29,105
Anuradhapura_2024_05	27.96,310
Anuradhapura_2024_06	27.48,42
Badulla_2010_01	21.3,151
Badulla_2010_02	22.29,42
Badulla_2010_03	23.89,103
Badulla_2010_04	24.48,206
Badulla_2010_05	24.89,179
Badulla_2010_06	24.84,137
Badulla_2010_07	24.7,106
Badulla_2010_08	25.2,91
Badulla_2010_09	24.64,195
Badulla_2010_10	23.71,170
Badulla_2010_11	22.1,344
Badulla_2010_12	21.16,342
Badulla_2011_01	20.52,325
Badulla_2011_02	21.43,233
Badulla_2011_03	22.53,198
Badulla_2011_04	23.33,209
Badulla_2011_05	24.57,95
Badulla_2011_06	25.91,22
Badulla_2011_07	26.02,51
Badulla_2011_08	25.04,89
Badulla_2011_09	25.34,98
Badulla_2011_10	23.58,263
Badulla_2011_11	21.93,305
Badulla_2011_12	21.32,310
Badulla_2012_01	20.98,102
Badulla_2012_02	21.56,110
Badulla_2012_03	23.41,117
Badulla_2012_04	23.42,204
Badulla_2012_05	26.13,50
Badulla_2012_06	26.65,36
Badulla_2012_07	26.01,67
Badulla_2012_08	25.55,82
Badulla_2012_09	24.97,118
Badulla_2012_10	23.19,302
Badulla_2012_11	22.27,338
Badulla_2012_12	21.37,360
Badulla_2013_01	20.94,173
Badulla_2013_02	21.66,161
Badulla_2013_03	22.77,176
Badulla_2013_04	24.24,147
Badulla_2013_05	24.81,124
Badulla_2013_06	24.67,130
Badulla_2013_07	25.05,59
Badulla_2013_08	25.54,77
Badulla_2013_09	24.23,92
Badulla_2013_10	24.53,163
Badulla_2013_11	22.29,239
Badulla_2013_12	21.02,261
Badulla_2014_01	20.8,171
Badulla_2014_02	21.42,80
Badulla_2014_03	22.51,85
Badulla_2014_04	24.14,124
Badulla_2014_05	24.22,133
Badulla_2014_06	25.57,38
Badulla_2014_07	26.14,21
Badulla_2014_08	24.67,88
Badulla_2014_09	24.23,114
Badulla_2014_10	22.78,284
Badulla_2014_11	21.93,303
Badulla_2014_12	21.42,373
Badulla_2015_01	21.32,103
Badulla_2015_02	21.2,155
Badulla_2015_03	22.52,119
Badulla_2015_04	23.34,262
Badulla_2015_05	24.15,172
Badulla_2015_06	24.5,84
Badulla_2015_07	25.42,62
Badulla_2015_08	25.34,107
Badulla_2015_09	24.15,161
Badulla_2015_10	22.8,321
Badulla_2015_11	22.23,301
Badulla_2015_12	21.91,259
Badulla_2016_01	21.76,78
Badulla_2016_02	22.34,113
Badulla_2016_03	24.06,93
Badulla_2016_04	25.51,136
Badulla_2016_05	24.74,290
Badulla_2016_06	25.33,44
Badulla_2016_07	25.38,73
Badulla_2016_08	25.45,42
Badulla_2016_09	26.23,42
Badulla_2016_10	25.64,164
Badulla_2016_11	22.37,279
Badulla_2016_12	22.16,142
Badulla_2017_01	20.27,286
Badulla_2017_02	20.9,236
Badulla_2017_03	22.43,179
Badulla_2017_04	24.33,67
Badulla_2017_05	25.39,131
Badulla_2017_06	25.66,106
Badulla_2017_07	26.1,108
Badulla_2017_08	25.11,105
Badulla_2017_09	24.03,148
Badulla_2017_10	23.78,215
Badulla_2017_11	21.84,339
Badulla_2017_12	21.33,328
Badulla_2018_01	20.27,224
Badulla_2018_02	21.1,275
Badulla_2018_03	22.43,255
Badulla_2018_04	22.97,187
Badulla_2018_05	23.51,206
Badulla_2018_06	24.32,112
Badulla_2018_07	24.37,119
Badulla_2018_08	24.48,138
Badulla_2018_09	24.54,166
Badulla_2018_10	22.42,346
Badulla_2018_11	21.92,387
Badulla_2018_12	21.19,320
Badulla_2019_01	20.58,404
Badulla_2019_02	21.93,373
Badulla_2019_03	22.42,152
Badulla_2019_04	23.88,185
Badulla_2019_05	25.15,124
Badulla_2019_06	25.91,77
Badulla_2019_07	25.54,99
Badulla_2019_08	24.95,145
Badulla_2019_09	23.84,226
Badulla_2019_10	22.28,377
Badulla_2019_11	22.26,367
Badulla_2019_12	21.7,450
Badulla_2020_01	21.28,318
Badulla_2020_02	21.53,350
Badulla_2020_03	23.08,108
Badulla_2020_04	23.73,223
Badulla_2020_05	24.64,191
Badulla_2020_06	24.93,122
Badulla_2020_07	24.29,160
Badulla_2020_08	24.9,117
Badulla_2020_09	23.85,146
Badulla_2020_10	24.29,88
Badulla_2020_11	22.52,387
Badulla_2020_12	21.67,457
Badulla_2021_01	21.3,451
Badulla_2021_02	21.33,324
Badulla_2021_03	22.06,232
Badulla_2021_04	23.2,163
Badulla_2021_05	23.86,240
Badulla_2021_06	23.73,133
Badulla_2021_07	24.09,144
Badulla_2021_08	23.95,197
Badulla_2021_09	23.83,186
Badulla_2021_10	23.05,218
Badulla_2021_11	22.16,324
Badulla_2021_12	21.36,384
Badulla_2022_01	21.06,367
Badulla_2022_02	21.15,212
Badulla_2022_03	22.46,204
Badulla_2022_04	22.71,229
Badulla_2022_05	24.66,160
Badulla_2022_06	23.93,141
Badulla_2022_07	24.22,144
Badulla_2022_08	23.88,183
Badulla_2022_09	23.6,139
Badulla_2022_10	22.76,256
Badulla_2022_11	21.51,281
Badulla_2022_12	20.98,306
Badulla_2023_01	20.1,423
Badulla_2023_02	21.04,335
Badulla_2023_03	22.08,289
Badulla_2023_04	23.05,183
Badulla_2023_05	24.09,164
Badulla_2023_06	25.03,151
Badulla_2023_07	25.02,133
Badulla_2023_08	25.59,125
Badulla_2023_09	24.02,221
Badulla_2023_10	23.02,350
Badulla_2023_11	22.61,367
Badulla_2023_12	22.37,489
Badulla_2024_01	21.68,434
Badulla_2024_02	22.37,287
Badulla_2024_03	23.4,106
Badulla_2024_04	24.64,159
Badulla_2024_05	25.53,252
Badulla_2024_06	25.16,53
Bandarawela_2010_01	19.89,157
Bandarawela_2010_02	20.66,59
Bandarawela_2010_03	22.02,126
Bandarawela_2010_04	21.95,275
Bandarawela_2010_05	22.24,355
Bandarawela_2010_06	21.83,386
Bandarawela_2010_07	21.57,336
Bandarawela_2010_08	21.78,384
Bandarawela_2010_09	21.45,329
Bandarawela_2010_10	21.03,326
Bandarawela_2010_11	20.1,398
Bandarawela_2010_12	19.55,439
Bandarawela_2011_01	19.07,379
Bandarawela_2011_02	19.81,230
Bandarawela_2011_03	20.57,165
Bandarawela_2011_04	20.83,250
Bandarawela_2011_05	21.89,245
Bandarawela_2011_06	22.53,239
Bandarawela_2011_07	22.38,300
Bandarawela_2011_08	21.8,289
Bandarawela_2011_09	21.85,270
Bandarawela_2011_10	21.05,345
Bandarawela_2011_11	20.14,279
Bandarawela_2011_12	19.81,318
Bandarawela_2012_01	19.46,130
Bandarawela_2012_02	19.98,154
Bandarawela_2012_03	21.31,92
Bandarawela_2012_04	20.96,262
Bandarawela_2012_05	22.34,178
Bandarawela_2012_06	22.47,260
Bandarawela_2012_07	22.17,262
Bandarawela_2012_08	22.06,284
Bandarawela_2012_09	21.62,267
Bandarawela_2012_10	20.85,400
Bandarawela_2012_11	20.47,289
Bandarawela_2012_12	19.82,324
Bandarawela_2013_01	19.5,183
Bandarawela_2013_02	20.04,187
Bandarawela_2013_03	20.84,189
Bandarawela_2013_04	21.88,191
Bandarawela_2013_05	22.11,288
Bandarawela_2013_06	21.34,494
Bandarawela_2013_07	21.5,353
Bandarawela_2013_08	21.91,284
Bandarawela_2013_09	21.41,321
Bandarawela_2013_10	21.41,289
Bandarawela_2013_11	20.28,252
Bandarawela_2013_12	19.73,293
Bandarawela_2014_01	19.59,197
Bandarawela_2014_02	20.0,51
Bandarawela_2014_03	21.2,99
Bandarawela_2014_04	21.87,170
Bandarawela_2014_05	22.07,241
Bandarawela_2014_06	22.89,310
Bandarawela_2014_07	22.93,326
Bandarawela_2014_08	21.95,311
Bandarawela_2014_09	21.95,334
Bandarawela_2014_10	20.75,357
Bandarawela_2014_11	20.16,341
Bandarawela_2014_12	19.97,417
Bandarawela_2015_01	19.88,89
Bandarawela_2015_02	19.63,163
Bandarawela_2015_03	20.69,131
Bandarawela_2015_04	21.11,278
Bandarawela_2015_05	21.82,271
Bandarawela_2015_06	22.02,259
Bandarawela_2015_07	22.36,305
Bandarawela_2015_08	22.08,284
Bandarawela_2015_09	21.53,347
Bandarawela_2015_10	20.91,399
Bandarawela_2015_11	20.53,380
Bandarawela_2015_12	20.3,303
Bandarawela_2016_01	20.44,109
Bandarawela_2016_02	21.07,106
Bandarawela_2016_03	22.86,61
Bandarawela_2016_04	22.73,161
Bandarawela_2016_05	22.1,420
Bandarawela_2016_06	22.02,366
Bandarawela_2016_07	22.27,292
Bandarawela_2016_08	22.32,274
Bandarawela_2016_09	22.54,236
Bandarawela_2016_10	21.84,255
Bandarawela_2016_11	20.45,277
Bandarawela_2016_12	20.14,128
Bandarawela_2017_01	17.95,185
Bandarawela_2017_02	18.16,133
Bandarawela_2017_03	19.32,180
Bandarawela_2017_04	21.25,88
Bandarawela_2017_05	21.63,172
Bandarawela_2017_06	21.74,107
Bandarawela_2017_07	22.43,100
Bandarawela_2017_08	21.21,150
Bandarawela_2017_09	20.3,150
Bandarawela_2017_10	20.31,224
Bandarawela_2017_11	18.91,334
Bandarawela_2017_12	18.51,212
Bandarawela_2018_01	17.68,149
Bandarawela_2018_02	18.76,154
Bandarawela_2018_03	19.35,210
Bandarawela_2018_04	19.89,198
Bandarawela_2018_05	20.18,243
Bandarawela_2018_06	20.87,125
Bandarawela_2018_07	20.76,132
Bandarawela_2018_08	20.74,163
Bandarawela_2018_09	20.51,197
Bandarawela_2018_10	19.32,368
Bandarawela_2018_11	18.94,348
Bandarawela_2018_12	18.46,207
Bandarawela_2019_01	18.12,169
Bandarawela_2019_02	19.1,232
Bandarawela_2019_03	19.52,132
Bandarawela_2019_04	20.61,214
Bandarawela_2019_05	21.02,194
Bandarawela_2019_06	21.89,82
Bandarawela_2019_07	21.64,114
Bandarawela_2019_08	20.73,193
Bandarawela_2019_09	20.13,242
Bandarawela_2019_10	19.12,400
Bandarawela_2019_11	19.15,313
Bandarawela_2019_12	18.9,358
Bandarawela_2020_01	18.69,166
Bandarawela_2020_02	19.21,179
Bandarawela_2020_03	20.56,102
Bandarawela_2020_04	20.65,202
Bandarawela_2020_05	21.33,183
Bandarawela_2020_06	21.68,122
Bandarawela_2020_07	20.97,141
Bandarawela_2020_08	21.02,135
Bandarawela_2020_09	20.26,213
Bandarawela_2020_10	20.86,133
Bandarawela_2020_11	19.38,341
Bandarawela_2020_12	18.76,327
Bandarawela_2021_01	18.45,323
Bandarawela_2021_02	18.53,176
Bandarawela_2021_03	19.03,189
Bandarawela_2021_04	19.9,186
Bandarawela_2021_05	20.52,273
Bandarawela_2021_06	20.53,134
Bandarawela_2021_07	20.74,173
Bandarawela_2021_08	20.69,205
Bandarawela_2021_09	20.48,190
Bandarawela_2021_10	19.83,223
Bandarawela_2021_11	19.33,329
Bandarawela_2021_12	18.53,222
Bandarawela_2022_01	18.22,223
Bandarawela_2022_02	18.56,139
Bandarawela_2022_03	19.4,221
Bandarawela_2022_04	19.52,255
Bandarawela_2022_05	20.93,179
Bandarawela_2022_06	20.51,152
Bandarawela_2022_07	20.71,178
Bandarawela_2022_08	20.29,228
Bandarawela_2022_09	20.16,163
Bandarawela_2022_10	19.59,272
Bandarawela_2022_11	18.46,280
Bandarawela_2022_12	18.12,259
Bandarawela_2023_01	17.59,208
Bandarawela_2023_02	18.36,211
Bandarawela_2023_03	19.04,204
Bandarawela_2023_04	19.82,181
Bandarawela_2023_05	20.73,175
Bandarawela_2023_06	21.61,151
Bandarawela_2023_07	21.36,150
Bandarawela_2023_08	21.63,167
Bandarawela_2023_09	20.1,282
Bandarawela_2023_10	19.35,399
Bandarawela_2023_11	19.25,383
Bandarawela_2023_12	19.23,417
Bandarawela_2024_01	18.62,259
Bandarawela_2024_02	19.33,196
Bandarawela_2024_03	20.26,98
Bandarawela_2024_04	20.79,172
Bandarawela_2024_05	21.64,305
Bandarawela_2024_06	21.1,78
Batticaloa_2010_01	25.66,258
Batticaloa_2010_02	26.24,120
Batticaloa_2010_03	27.77,68
Batticaloa_2010_04	28.83,121
Batticaloa_2010_05	29.03,111
Batticaloa_2010_06	29.4,60
Batticaloa_2010_07	29.36,61
Batticaloa_2010_08	28.97,92
Batticaloa_2010_09	27.88,152
Batticaloa_2010_10	27.75,146
Batticaloa_2010_11	26.0,395
Batticaloa_2010_12	24.93,474
Batticaloa_2011_01	24.43,535
Batticaloa_2011_02	25.29,298
Batticaloa_2011_03	26.25,211
Batticaloa_2011_04	27.4,143
Batticaloa_2011_05	28.87,42
Batticaloa_2011_06	30.13,25
Batticaloa_2011_07	29.45,38
Batticaloa_2011_08	28.73,75
Batticaloa_2011_09	28.79,46
Batticaloa_2011_10	26.81,349
Batticaloa_2011_11	25.99,387
Batticaloa_2011_12	25.58,380
Batticaloa_2012_01	25.2,181
Batticaloa_2012_02	25.7,242
Batticaloa_2012_03	27.27,56
Batticaloa_2012_04	27.86,141
Batticaloa_2012_05	29.83,17
Batticaloa_2012_06	30.37,11
Batticaloa_2012_07	29.67,32
Batticaloa_2012_08	29.42,37
Batticaloa_2012_09	28.98,58
Batticaloa_2012_10	26.86,325
Batticaloa_2012_11	26.0,334
Batticaloa_2012_12	25.4,413
Batticaloa_2013_01	25.4,292
Batticaloa_2013_02	25.9,228
Batticaloa_2013_03	26.9,228
Batticaloa_2013_04	28.69,86
Batticaloa_2013_05	29.22,73
Batticaloa_2013_06	29.39,29
Batticaloa_2013_07	29.44,26
Batticaloa_2013_08	29.1,48
Batticaloa_2013_09	28.65,55
Batticaloa_2013_10	28.26,125
Batticaloa_2013_11	26.12,329
Batticaloa_2013_12	25.22,375
Batticaloa_2014_01	24.98,397
Batticaloa_2014_02	25.73,170
Batticaloa_2014_03	26.88,137
Batticaloa_2014_04	28.27,90
Batticaloa_2014_05	28.48,116
Batticaloa_2014_06	30.44,29
Batticaloa_2014_07	30.54,13
Batticaloa_2014_08	28.71,83
Batticaloa_2014_09	28.29,92
Batticaloa_2014_10	26.91,289
Batticaloa_2014_11	25.93,366
Batticaloa_2014_12	25.17,530
Batticaloa_2015_01	25.52,190
Batticaloa_2015_02	25.31,340
Batticaloa_2015_03	26.55,180
Batticaloa_2015_04	27.68,164
Batticaloa_2015_05	28.5,105
Batticaloa_2015_06	29.2,60
Batticaloa_2015_07	29.93,26
Batticaloa_2015_08	29.5,38
Batticaloa_2015_09	28.34,88
Batticaloa_2015_10	26.87,329
Batticaloa_2015_11	26.13,379
Batticaloa_2015_12	26.02,484
Batticaloa_2016_01	26.12,235
Batticaloa_2016_02	26.71,186
Batticaloa_2016_03	27.59,139
Batticaloa_2016_04	29.37,65
Batticaloa_2016_05	28.8,192
Batticaloa_2016_06	29.87,25
Batticaloa_2016_07	29.51,63
Batticaloa_2016_08	29.67,29
Batticaloa_2016_09	29.6,27
Batticaloa_2016_10	28.62,121
Batticaloa_2016_11	26.19,336
Batticaloa_2016_12	25.74,251
Batticaloa_2017_01	25.0,306
Batticaloa_2017_02	25.5,219
Batticaloa_2017_03	26.82,195
Batticaloa_2017_04	28.94,59
Batticaloa_2017_05	29.52,85
Batticaloa_2017_06	30.43,69
Batticaloa_2017_07	30.2,54
Batticaloa_2017_08	29.48,88
Batticaloa_2017_09	28.2,143
Batticaloa_2017_10	27.59,226
Batticaloa_2017_11	25.99,393
Batticaloa_2017_12	25.74,308
Batticaloa_2018_01	25.11,174
Batticaloa_2018_02	25.61,243
Batticaloa_2018_03	26.72,257
Batticaloa_2018_04	27.52,199
Batticaloa_2018_05	27.73,163
Batticaloa_2018_06	29.28,75
Batticaloa_2018_07	29.81,70
Batticaloa_2018_08	29.77,63
Batticaloa_2018_09	28.81,132
Batticaloa_2018_10	26.41,401
Batticaloa_2018_11	26.01,462
Batticaloa_2018_12	25.53,375
Batticaloa_2019_01	25.53,274
